회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
파티게임즈,194510,소프트웨어 개발 및 공급업,모바일 게임,2014-11-21,12월,김현수,http://www.patigames.com,서울특별시
지엘팜텍,204840,자연과학 및 공학 연구개발업,금융지원서비스업,2014-11-20,12월,왕훈식,,경기도
디에이테크놀로지,196490,특수 목적용 기계 제조업,2차전지설비,2014-11-19,12월,박명관,http://www.dat21.co.kr,경기도
유안타제1호스팩,204620,금융지원 서비스업,기업인수합병,2014-11-19,12월,정상억,,서울특별시
액션스퀘어,205500,소프트웨어 개발 및 공급업,모바일게임,2014-11-12,12월,김재영,http://www.action2quare.com,경기도
현대에이블스팩1호,204760,금융지원 서비스업,기업인수합병,2014-11-10,12월,김현철,,서울특별시
엑셈,205100,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW",2014-11-07,12월,조종암,http://www.ex-em.com,서울특별시
테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업,피부세포치료제,2014-11-06,12월,전세화,http://www.tegoscience.com,서울특별시
슈피겐코리아,192440,그외 기타 제품 제조업,"핸드폰 케이스, 액정보호필름",2014-11-05,12월,김대영,http://www.spigenkorea.co.kr,서울특별시
테라셈,182690,반도체 제조업,이미지센서 패키징,2014-10-30,12월,서성기,http://www.terrasem.com,충청북도
영우디에스피,143540,특수 목적용 기계 제조업,OLED/LCD 디스플레이 검사장비,2014-10-29,12월,박금성,http://www.ywdsp.com,경기도
대우스팩2호,204440,금융지원 서비스업,기업인수합병,2014-10-22,12월,장웅주,,서울특별시
신한제2호SPAC,203650,금융지원 서비스업,기업인수합병,2014-10-13,12월,이원배,,서울특별시
메디아나,041920,의료용 기기 제조업,"환자감시장치, 자동심장 제세동기(AED)",2014-10-07,12월,"길문종, 김응석",http://www.mediana.co.kr,강원도
데브시스터즈,194480,소프트웨어 개발 및 공급업,모바일 게임(쿠키런),2014-10-06,12월,"이지훈, 김종흔",http://www.devsisters.com,서울특별시
프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,화장품,2014-09-30,12월,이원종,http://www.prostemics.com,서울특별시
감마누,192410,통신 및 방송 장비 제조업,기지국 안테나 및 인빌딩 안테나,2014-08-14,12월,김상기,http://www.gammanu.com,경기도
엔에이치스팩3호,198440,금융지원 서비스업,기업인수합병,2014-08-13,12월,남강욱,,서울특별시
신화콘텍,187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","커넥터(정보통신기기용, 디스플레이용, HDD용 등)",2014-08-08,12월,이정진,http://www.sh-ct.co.kr,경기도
파버나인,177830,전자부품 제조업,"알루미늄 소재 TV 외관재(프레임, 스탠드)",2014-08-04,12월,이제훈,http://www.pavonine.net,인천광역시
덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업",일체형 데크플레이트 등,2014-08-01,12월,이수인,http://www.duckshin.com,충청남도
창해에탄올,004650,알콜음료 제조업,"주정(발효주정, 정제주정) 등",2014-07-30,12월,"임성우, 서상국",http://www.chethanol.com,전라북도
윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업",데크 플레이트(건설용거푸집),2014-07-25,12월,변천섭,http://www.winhitech.co.kr,충청북도
아진엑스텍,059120,반도체 제조업,"전자집적회로, 모션제어칩",2014-07-24,12월,김창호,http://www.ajinextek.com,대구광역시
콜마비앤에이치,200130,기초 의약물질 및 생물학적 제제 제조업,기업인수합병,2014-07-23,12월,"백인영, 정화영 (각자 대표이사)",,대전광역시
트루윈,105550,전자부품 제조업,"자동차용 센서(APS, TPS, IAPS, SLS)",2014-07-11,12월,남용현,http://www.truwin.co.kr,대전광역시
우성아이비,194610,그외 기타 제품 제조업,경기 레저용 물놀이 기구,2014-06-10,12월,이희재,http://zebec.co.kr,인천광역시
온다 엔터테인먼트,196450,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰용 카메라 렌즈모듈 제조,2014-06-02,12월,조호걸,http://www.diostech.co.kr,경기도
캐스텍코리아,071850,자동차 부품 제조업,자동차용 터보차저 부품,2014-05-27,12월,윤상원,http://www.castec.co.kr,부산광역시
나노,187790,기초화학물질 제조업,세라믹스제품,2014-05-08,12월,신동우,http://nanoin.com,경상북도
케이사인,192250,소프트웨어 개발 및 공급업,,2014-04-28,12월,최승락,,서울특별시
오이솔루션,138080,통신 및 방송 장비 제조업,광트랜시버,2014-02-27,12월,"박용관, 추안구",http://www.oesolution.com,광주광역시
인터파크,108790,무점포 소매업,"온라인쇼핑, 도서, ENT(공연티켓 등), 투어",2014-02-06,12월,"강동화, 박진영(각자 대표이사)",http://www.interpark.com,서울특별시
한국정보인증,053300,소프트웨어 개발 및 공급업,"공인인증서, PKI솔루션 등",2014-02-04,12월,김상준,http://www.signgate.com,경기도
솔루에타,154040,전자부품 제조업,전자파 차폐소재,2013-12-27,12월,박동원,http://www.solueta.com,경기도
이지웰페어,090850,소프트웨어 개발 및 공급업,선택적복리후생서비스,2013-12-27,12월,김상용,http://www.ezwel.com,
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,보안솔루션,2013-12-20,12월,최영철,http://sgasol.kr,서울특별시
기가레인,049080,전자부품 제조업,RF통신부품 및 반도체 장비,2013-12-19,12월,"김정곤, 구황섭(각자대표)",http://www.gigalane.com,경기도
인트로메딕,150840,의료용 기기 제조업,"캡슐내시경, 일회용 연성내시경",2013-12-19,12월,"심한보, 김브라이언병훈",http://www.intromedic.co.kr,서울특별시
알티캐스트,085810,소프트웨어 개발 및 공급업,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)",2013-12-06,12월,한만수,http://www.alticast.co.kr,서울특별시
현대공업,170030,자동차 부품 제조업,"시트패드, 암레스트, 헤드레스트",2013-12-04,12월,강현석,http://www.hdi21.co.kr,울산광역시
엔브이에이치코리아,067570,자동차 부품 제조업,"헤드라이너, NVH부품",2013-12-03,12월,"이진용,구자겸",http://www.nvh-korea.co.kr,울산광역시
디엠티,134580,통신 및 방송 장비 제조업,셋톱박스,2013-11-26,12월,이희기,http://www.dmt.kr,경기도
큐브엔터,182360,오디오물 출판 및 원판 녹음업,"음반음원, 콘서트, 아티스트매니지먼트",2013-11-21,12월,박충민,http://www.cubeent.co.kr,서울특별시
라이온켐텍,171120,기타 화학제품 제조업,"합성왁스, 인조대리석",2013-11-19,12월,"박희원, 안형규",http://www.lion-chemtech.co.kr,대전광역시
램테크놀러지,171010,기초화학물질 제조업,"AMOLED 마스크 세정액, 반도체 식각액, 반도체 박리액",2013-11-18,12월,길준잉,http://www.ramtech.co.kr,경기도
미동앤씨네마,161570,영상 및 음향기기 제조업,"차량용 블랙박스, 차량운행보조시스템",2013-11-13,12월,진걸(CHEN JIE),http://www.midongent.com,서울특별시
에이씨티,138360,기타 화학제품 제조업,기능성 화장품 원료,2013-11-08,12월,이보섭,http://www.actcos.com,충청북도
해성옵틱스,076610,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰용 렌즈모듈 및 카메라모듈,2013-11-06,12월,"이을성, 이재선(각자대표이사)",http://www.hso.co.kr,경기도
내츄럴엔도텍,168330,자연과학 및 공학 연구개발업,"백수오 여성호르몬제, 백수오등복합추출물(원료)",2013-10-31,12월,장 현 우,http://www.naturalendo.com,경기도
테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트,2013-10-22,12월,이종도,http://www.tesna.co.kr,경기도
파수닷컴,150900,소프트웨어 개발 및 공급업,기업용 문서보안 솔루션,2013-10-18,12월,조규곤,http://www.fasoo.com,서울특별시
엘티씨,170920,기초화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액,2013-10-08,12월,최호성,http://www.l-tech.co.kr,경기도
지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","비상발전기, 소형열병합발전설비, 바이오가스발전설비",2013-10-02,12월,안병철,http://www.gncenergy.co.kr,서울특별시
아미코젠,092040,기타 식품 제조업,제약용 특수효소 및 효소기반 바이오신소재,2013-09-12,12월,신용철,http://www.amicogen.com,경상남도
GH신소재,130500,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,강경순,http://www.gumho-nt.com,경상북도
파이오링크,170790,통신 및 방송 장비 제조업,"ADC(서버부하 분산장치), 보안스위치, 웹방화벽",2013-08-01,12월,조영철,http://www.piolink.com,서울특별시
KG ETS,151860,"증기, 냉온수 및 공기조절 공급업","집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도
나스미디어,089600,광고업,광고매체 판매,2013-07-17,12월,정기호,http://www.nasmedia.co.kr,서울특별시
엑세스바이오,950130,의료용품 및 기타 의약관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,http://www.accessbio.net,미국
레고켐바이오,141080,자연과학 및 공학 연구개발업,신약후보물질 발굴을 통한 License-Out,2013-05-10,12월,김용주,http://www.legochembio.com,대전광역시
인터불스,158310,특수 목적용 기계 제조업,"FPCB 공정 자동화 장비(가이드홀펀처, 비젼프레스, 커버레이가접기 등)",2013-04-03,12월,옥윤형,http://www.sehorobo.com,경기도
윈팩,097800,반도체 제조업,반도체 패키징 및 테스트,2013-03-07,12월,"이한규, 이민석(각자 대표)",http://www.winpac.co.kr,경기도
코렌텍,104540,의료용 기기 제조업,"인공고관절, 인공슬관절 등",2013-03-05,12월,"선두훈, 홍성택",http://www.corentec.com,충청남도
제로투세븐,159580,가정용품 도매업,유아동복 및 용품,2013-02-19,12월,"김정민, 조성철(각자대표)",http://www.0to7.com,서울특별시
지디,155960,전자부품 제조업,디스플레이 패널 식각 서비스,2013-02-13,12월,김명선,http://www.g-display.com,충청북도
아이원스,114810,특수 목적용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조",2013-02-07,12월,김 병 기,http://www.iones.co.kr,경기도
우리이앤엘,153490,반도체 제조업,LED 패키지,2013-02-05,12월,김병수,http://www.wooreeenl.co.kr,경기도
아이센스,099190,의료용 기기 제조업,"혈당측정스트립, 혈당측정기기 등",2013-01-30,12월,차근식,http://www.i-sens.com,서울특별시
포티스,141020,무점포 소매업,셋톱박스,2013-01-29,12월,"이찬진, 정상훈 (각자 대표이사)",http://www.fortis.co.kr,경기도
MBK,159910,기초화학물질 제조업,"OLED발광소재, OLED승화정제장비",2012-12-27,12월,-,http://www.thembk.com,경기도
SBI액시즈,950110,소프트웨어 개발 및 공급업,전자결제대행서비스(PG서비스),2012-12-17,03월,산몬지 마사타카,http://www.axes-group.com,일본
우리로,046970,통신 및 방송 장비 제조업,"광분배기(웨이퍼, 칩, 모듈), 광다이오드",2012-11-27,12월,박세철,http://www.wooriro.com,광주광역시
디젠스,113810,자동차 부품 제조업,자동차용 소음기(머플러),2012-11-22,12월,이석우,http://www.dgenx.com,충청남도
맥스로텍,141070,특수 목적용 기계 제조업,갠트리로봇 공장자동화시스템,2012-11-16,12월,김인환,http://www.maxrotec.com,대구광역시
와이엠씨,155650,전자부품 제조업,"FPD 패널용 Target, Backing Plate 등",2012-11-15,12월,이윤용,http://www.ymc-inc.com,충청남도
아바텍,149950,전자부품 제조업,"Glass Slimming & ITO코팅 제품, PDP필터",2012-11-06,12월,박명섭,http://www.avatec.co.kr,대구광역시
코이즈,121850,플라스틱제품 제조업,"보호필름, 도광판, 백코팅",2012-09-27,12월,조재형,http://www.koyj.co.kr,충청북도
모다정보통신,149940,통신 및 방송 장비 제조업,무선 데이터 통신 단말기,2012-09-25,12월,김정식,http://www.modacom.co.kr,서울특별시
나노스,151910,"안경, 사진장비 및 기타 광학기기 제조업","Blue Filter, IR Filter, Camera Module",2012-08-02,12월,김종범,http://www.nanosm.com,경기도
엠씨넥스,097520,영상 및 음향기기 제조업,휴대폰용자동차용 카메라모듈,2012-07-25,12월,민동욱,http://www.mcnex.com,서울특별시
네이블커뮤니케이션즈,153460,소프트웨어 개발 및 공급업,"유무선융합 인프라, 클라이언트 및 All-IP 통신보안",2012-07-19,12월,"심재희, 이준원(각자대표)",http://www.nablecomm.com,서울특별시
디지탈옵틱,106520,"안경, 사진장비 및 기타 광학기기 제조업",휴대폰 및 차량용 카메라렌즈,2012-07-13,12월,"한승재, 정광용 각자대표이사",http://www.digitaloptics.co.kr,경기도
피엔티,137400,특수 목적용 기계 제조업,2차전지 및 전자소재용 Roll-to-Roll 장비,2012-07-06,12월,김준섭,http://www.epnt.co.kr,경상북도
비아트론,141000,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,http://www.viatrontech.com,경기도
빛샘전자,072950,전자부품 제조업,"전광판용 LED 모듈, LED 전광판, 광접속함체",2012-03-21,12월,강만준,http://www.vissem.com,경기도
사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업","온라인 채용광고(취업포털), 인재파견, 취업지원 등",2012-02-21,12월,이정근,http://www.saramin.co.kr,서울특별시
뉴로스,126870,일반 목적용 기계 제조업,터보블로워,2012-02-15,12월,김승우,http://www.neuros.co.kr,대전광역시
제룡산업,147830,"구조용 금속제품, 탱크 및 증기발생기 제조업",송배전 금구류 및 합성수지 제품,2012-02-13,12월,박종태,http://www.cheryong.co.kr,서울특별시
